kommune_bydel_no,kommune_bydel_name.x,bydel_no.x,bydel_name.x,kommune_no.x,kommune_name.x,fylke_no.x,fylke_name.x,kommune_bydel_name.y,bydel_no.y,bydel_name.y,kommune_no.y,kommune_name.y,fylke_no.y,fylke_name.y,population
4204,Kristiansand,,,4204,Kristiansand,42,Agder,Kristiansand,,,4204,Kristiansand,42,Agder,111633
4205,Lindesnes,,,4205,Lindesnes,42,Agder,Lindesnes,,,4205,Lindesnes,42,Agder,23046
4206,Farsund,,,4206,Farsund,42,Agder,Farsund,,,4206,Farsund,42,Agder,9691
4207,Flekkefjord,,,4207,Flekkefjord,42,Agder,Flekkefjord,,,4207,Flekkefjord,42,Agder,9028
4211,Gjerstad,,,4211,Gjerstad,42,Agder,Gjerstad,,,4211,Gjerstad,42,Agder,2428
4212,Vegårshei,,,4212,Vegårshei,42,Agder,Vegårshei,,,4212,Vegårshei,42,Agder,2097
4213,Tvedestrand,,,4213,Tvedestrand,42,Agder,Tvedestrand,,,4213,Tvedestrand,42,Agder,6053
4214,Froland,,,4214,Froland,42,Agder,Froland,,,4214,Froland,42,Agder,5951
4215,Lillesand,,,4215,Lillesand,42,Agder,Lillesand,,,4215,Lillesand,42,Agder,11074
4216,Birkenes,,,4216,Birkenes,42,Agder,Birkenes,,,4216,Birkenes,42,Agder,5226
4217,Åmli,,,4217,Åmli,42,Agder,Åmli,,,4217,Åmli,42,Agder,1836
4218,Iveland,,,4218,Iveland,42,Agder,Iveland,,,4218,Iveland,42,Agder,1331
4219,Evje og Hornnes,,,4219,Evje og Hornnes,42,Agder,Evje og Hornnes,,,4219,Evje og Hornnes,42,Agder,3634
4220,Bygland,,,4220,Bygland,42,Agder,Bygland,,,4220,Bygland,42,Agder,1162
4221,Valle,,,4221,Valle,42,Agder,Valle,,,4221,Valle,42,Agder,1164
4222,Bykle,,,4222,Bykle,42,Agder,Bykle,,,4222,Bykle,42,Agder,965
4223,Vennesla,,,4223,Vennesla,42,Agder,Vennesla,,,4223,Vennesla,42,Agder,14774
4224,Åseral,,,4224,Åseral,42,Agder,Åseral,,,4224,Åseral,42,Agder,932
4225,Lyngdal,,,4225,Lyngdal,42,Agder,Lyngdal,,,4225,Lyngdal,42,Agder,10365
4226,Hægebostad,,,4226,Hægebostad,42,Agder,Hægebostad,,,4226,Hægebostad,42,Agder,1680
4227,Kvinesdal,,,4227,Kvinesdal,42,Agder,Kvinesdal,,,4227,Kvinesdal,42,Agder,5987
4228,Sirdal,,,4228,Sirdal,42,Agder,Sirdal,,,4228,Sirdal,42,Agder,1822
460101,Arna,460101,Arna,4601,Bergen,46,Vestland,Arna,460101,Arna,4601,Bergen,46,Vestland,13820
460102,Bergenhus,460102,Bergenhus,4601,Bergen,46,Vestland,Bergenhus,460102,Bergenhus,4601,Bergen,46,Vestland,42790
460103,Fana,460103,Fana,4601,Bergen,46,Vestland,Fana,460103,Fana,4601,Bergen,46,Vestland,43139
460104,Fyllingsdalen,460104,Fyllingsdalen,4601,Bergen,46,Vestland,Fyllingsdalen,460104,Fyllingsdalen,4601,Bergen,46,Vestland,30071
460105,Laksevåg,460105,Laksevåg,4601,Bergen,46,Vestland,Laksevåg,460105,Laksevåg,4601,Bergen,46,Vestland,40409
460106,Ytrebygda,460106,Ytrebygda,4601,Bergen,46,Vestland,Ytrebygda,460106,Ytrebygda,4601,Bergen,46,Vestland,29279
460107,Årstad,460107,Årstad,4601,Bergen,46,Vestland,Årstad,460107,Årstad,4601,Bergen,46,Vestland,42223
460108,Åsane,460108,Åsane,4601,Bergen,46,Vestland,Åsane,460108,Åsane,4601,Bergen,46,Vestland,41629
4602,Kinn,,,4602,Kinn,46,Vestland,Kinn,,,4602,Kinn,46,Vestland,17207
4611,Etne,,,4611,Etne,46,Vestland,Etne,,,4611,Etne,46,Vestland,4062
4612,Sveio,,,4612,Sveio,46,Vestland,Sveio,,,4612,Sveio,46,Vestland,5766
4613,Bømlo,,,4613,Bømlo,46,Vestland,Bømlo,,,4613,Bømlo,46,Vestland,11957
4614,Stord,,,4614,Stord,46,Vestland,Stord,,,4614,Stord,46,Vestland,18759
4615,Fitjar,,,4615,Fitjar,46,Vestland,Fitjar,,,4615,Fitjar,46,Vestland,3189
4616,Tysnes,,,4616,Tysnes,46,Vestland,Tysnes,,,4616,Tysnes,46,Vestland,2869
4617,Kvinnherad,,,4617,Kvinnherad,46,Vestland,Kvinnherad,,,4617,Kvinnherad,46,Vestland,13071
4618,Ullensvang,,,4618,Ullensvang,46,Vestland,Ullensvang,,,4618,Ullensvang,46,Vestland,11048
4619,Eidfjord,,,4619,Eidfjord,46,Vestland,Eidfjord,,,4619,Eidfjord,46,Vestland,906
4620,Ulvik,,,4620,Ulvik,46,Vestland,Ulvik,,,4620,Ulvik,46,Vestland,1080
4621,Voss,,,4621,Voss,46,Vestland,Voss,,,4621,Voss,46,Vestland,15740
4622,Kvam,,,4622,Kvam,46,Vestland,Kvam,,,4622,Kvam,46,Vestland,8457
4623,Samnanger,,,4623,Samnanger,46,Vestland,Samnanger,,,4623,Samnanger,46,Vestland,2485
4624,Bjørnafjorden,,,4624,Bjørnafjorden,46,Vestland,Bjørnafjorden,,,4624,Bjørnafjorden,46,Vestland,24908
4625,Austevoll,,,4625,Austevoll,46,Vestland,Austevoll,,,4625,Austevoll,46,Vestland,5236
4626,Øygarden,,,4626,Øygarden,46,Vestland,Øygarden,,,4626,Øygarden,46,Vestland,38316
4627,Askøy,,,4627,Askøy,46,Vestland,Askøy,,,4627,Askøy,46,Vestland,29553
4628,Vaksdal,,,4628,Vaksdal,46,Vestland,Vaksdal,,,4628,Vaksdal,46,Vestland,3977
4629,Modalen,,,4629,Modalen,46,Vestland,Modalen,,,4629,Modalen,46,Vestland,388
4630,Osterøy,,,4630,Osterøy,46,Vestland,Osterøy,,,4630,Osterøy,46,Vestland,8098
4631,Alver,,,4631,Alver,46,Vestland,Alver,,,4631,Alver,46,Vestland,29224
4632,Austrheim,,,4632,Austrheim,46,Vestland,Austrheim,,,4632,Austrheim,46,Vestland,2870
4633,Fedje,,,4633,Fedje,46,Vestland,Fedje,,,4633,Fedje,46,Vestland,548
4634,Masfjorden,,,4634,Masfjorden,46,Vestland,Masfjorden,,,4634,Masfjorden,46,Vestland,1691
4635,Gulen,,,4635,Gulen,46,Vestland,Gulen,,,4635,Gulen,46,Vestland,2297
4636,Solund,,,4636,Solund,46,Vestland,Solund,,,4636,Solund,46,Vestland,802
4637,Hyllestad,,,4637,Hyllestad,46,Vestland,Hyllestad,,,4637,Hyllestad,46,Vestland,1328
4638,Høyanger,,,4638,Høyanger,46,Vestland,Høyanger,,,4638,Høyanger,46,Vestland,4101
4639,Vik,,,4639,Vik,46,Vestland,Vik,,,4639,Vik,46,Vestland,2635
4640,Sogndal,,,4640,Sogndal,46,Vestland,Sogndal,,,4640,Sogndal,46,Vestland,11847
4641,Aurland,,,4641,Aurland,46,Vestland,Aurland,,,4641,Aurland,46,Vestland,1781
4642,Lærdal,,,4642,Lærdal,46,Vestland,Lærdal,,,4642,Lærdal,46,Vestland,2126
4643,Årdal,,,4643,Årdal,46,Vestland,Årdal,,,4643,Årdal,46,Vestland,5193
4644,Luster,,,4644,Luster,46,Vestland,Luster,,,4644,Luster,46,Vestland,5174
4645,Askvoll,,,4645,Askvoll,46,Vestland,Askvoll,,,4645,Askvoll,46,Vestland,3011
4646,Fjaler,,,4646,Fjaler,46,Vestland,Fjaler,,,4646,Fjaler,46,Vestland,2802
4647,Sunnfjord,,,4647,Sunnfjord,46,Vestland,Sunnfjord,,,4647,Sunnfjord,46,Vestland,22030
4648,Bremanger,,,4648,Bremanger,46,Vestland,Bremanger,,,4648,Bremanger,46,Vestland,3629
4649,Stad,,,4649,Stad,46,Vestland,Stad,,,4649,Stad,46,Vestland,9457
4650,Gloppen,,,4650,Gloppen,46,Vestland,Gloppen,,,4650,Gloppen,46,Vestland,5854
4651,Stryn,,,4651,Stryn,46,Vestland,Stryn,,,4651,Stryn,46,Vestland,7130
500101,Midtbyen,500101,Midtbyen,5001,Trondheim,50,Trøndelag,Midtbyen,500101,Midtbyen,5001,Trondheim,50,Trøndelag,51719
500102,Østbyen,500102,Østbyen,5001,Trondheim,50,Trøndelag,Østbyen,500102,Østbyen,5001,Trondheim,50,Trøndelag,56631
500103,Lerkendal,500103,Lerkendal,5001,Trondheim,50,Trøndelag,Lerkendal,500103,Lerkendal,5001,Trondheim,50,Trøndelag,54148
500104,Heimdal,500104,Heimdal,5001,Trondheim,50,Trøndelag,Heimdal,500104,Heimdal,5001,Trondheim,50,Trøndelag,42152
5006,Steinkjer,,,5006,Steinkjer,50,Trøndelag,Steinkjer,,,5006,Steinkjer,50,Trøndelag,24357
5007,Namsos,,,5007,Namsos,50,Trøndelag,Namsos,,,5007,Namsos,50,Trøndelag,15230
5014,Frøya,,,5014,Frøya,50,Trøndelag,Frøya,,,5014,Frøya,50,Trøndelag,5151
5020,Osen,,,5020,Osen,50,Trøndelag,Osen,,,5020,Osen,50,Trøndelag,948
5021,Oppdal,,,5021,Oppdal,50,Trøndelag,Oppdal,,,5021,Oppdal,50,Trøndelag,7001
5022,Rennebu,,,5022,Rennebu,50,Trøndelag,Rennebu,,,5022,Rennebu,50,Trøndelag,2486
5025,Røros,,,5025,Røros,50,Trøndelag,Røros,,,5025,Røros,50,Trøndelag,5581
5026,Holtålen,,,5026,Holtålen,50,Trøndelag,Holtålen,,,5026,Holtålen,50,Trøndelag,1981
5027,Midtre Gauldal,,,5027,Midtre Gauldal,50,Trøndelag,Midtre Gauldal,,,5027,Midtre Gauldal,50,Trøndelag,6238
5028,Melhus,,,5028,Melhus,50,Trøndelag,Melhus,,,5028,Melhus,50,Trøndelag,16733
5029,Skaun,,,5029,Skaun,50,Trøndelag,Skaun,,,5029,Skaun,50,Trøndelag,8325
5031,Malvik,,,5031,Malvik,50,Trøndelag,Malvik,,,5031,Malvik,50,Trøndelag,14148
5032,Selbu,,,5032,Selbu,50,Trøndelag,Selbu,,,5032,Selbu,50,Trøndelag,4062
5033,Tydal,,,5033,Tydal,50,Trøndelag,Tydal,,,5033,Tydal,50,Trøndelag,769
5034,Meråker,,,5034,Meråker,50,Trøndelag,Meråker,,,5034,Meråker,50,Trøndelag,2422
5035,Stjørdal,,,5035,Stjørdal,50,Trøndelag,Stjørdal,,,5035,Stjørdal,50,Trøndelag,24145
5036,Frosta,,,5036,Frosta,50,Trøndelag,Frosta,,,5036,Frosta,50,Trøndelag,2627
5037,Levanger,,,5037,Levanger,50,Trøndelag,Levanger,,,5037,Levanger,50,Trøndelag,20164
5038,Verdal,,,5038,Verdal,50,Trøndelag,Verdal,,,5038,Verdal,50,Trøndelag,14948
5041,Snåsa,,,5041,Snåsa,50,Trøndelag,Snåsa,,,5041,Snåsa,50,Trøndelag,2063
5042,Lierne,,,5042,Lierne,50,Trøndelag,Lierne,,,5042,Lierne,50,Trøndelag,1355
5043,Røyrvik,,,5043,Røyrvik,50,Trøndelag,Røyrvik,,,5043,Røyrvik,50,Trøndelag,461
5044,Namsskogan,,,5044,Namsskogan,50,Trøndelag,Namsskogan,,,5044,Namsskogan,50,Trøndelag,843
5045,Grong,,,5045,Grong,50,Trøndelag,Grong,,,5045,Grong,50,Trøndelag,2359
5046,Høylandet,,,5046,Høylandet,50,Trøndelag,Høylandet,,,5046,Høylandet,50,Trøndelag,1231
5047,Overhalla,,,5047,Overhalla,50,Trøndelag,Overhalla,,,5047,Overhalla,50,Trøndelag,3884
5049,Flatanger,,,5049,Flatanger,50,Trøndelag,Flatanger,,,5049,Flatanger,50,Trøndelag,1103
5052,Leka,,,5052,Leka,50,Trøndelag,Leka,,,5052,Leka,50,Trøndelag,557
5053,Inderøy,,,5053,Inderøy,50,Trøndelag,Inderøy,,,5053,Inderøy,50,Trøndelag,6816
5054,Indre Fosen,,,5054,Indre Fosen,50,Trøndelag,Indre Fosen,,,5054,Indre Fosen,50,Trøndelag,10084
5055,Heim,,,5055,Heim,50,Trøndelag,Heim,,,5055,Heim,50,Trøndelag,5963
5056,Hitra,,,5056,Hitra,50,Trøndelag,Hitra,,,5056,Hitra,50,Trøndelag,5050
5057,Ørland,,,5057,Ørland,50,Trøndelag,Ørland,,,5057,Ørland,50,Trøndelag,10323
5058,Åfjord,,,5058,Åfjord,50,Trøndelag,Åfjord,,,5058,Åfjord,50,Trøndelag,4288
5059,Orkland,,,5059,Orkland,50,Trøndelag,Orkland,,,5059,Orkland,50,Trøndelag,18217
5060,Nærøysund,,,5060,Nærøysund,50,Trøndelag,Nærøysund,,,5060,Nærøysund,50,Trøndelag,9623
5061,Rindal,,,5061,Rindal,50,Trøndelag,Rindal,,,5061,Rindal,50,Trøndelag,2003
5401,Tromsø,,,5401,Tromsø,54,Troms og Finnmark,Tromsø,,,5401,Tromsø,54,Troms og Finnmark,76974
5402,Harstad,,,5402,Harstad,54,Troms og Finnmark,Harstad,,,5402,Harstad,54,Troms og Finnmark,24703
5403,Alta,,,5403,Alta,54,Troms og Finnmark,Alta,,,5403,Alta,54,Troms og Finnmark,20789
5404,Vardø,,,5404,Vardø,54,Troms og Finnmark,Vardø,,,5404,Vardø,54,Troms og Finnmark,2029
5405,Vadsø,,,5405,Vadsø,54,Troms og Finnmark,Vadsø,,,5405,Vadsø,54,Troms og Finnmark,5788
5406,Hammerfest,,,5406,Hammerfest,54,Troms og Finnmark,Hammerfest,,,5406,Hammerfest,54,Troms og Finnmark,11448
5411,Kvæfjord,,,5411,Kvæfjord,54,Troms og Finnmark,Kvæfjord,,,5411,Kvæfjord,54,Troms og Finnmark,2839
5412,Tjeldsund,,,5412,Tjeldsund,54,Troms og Finnmark,Tjeldsund,,,5412,Tjeldsund,54,Troms og Finnmark,4216
5413,Ibestad,,,5413,Ibestad,54,Troms og Finnmark,Ibestad,,,5413,Ibestad,54,Troms og Finnmark,1361
5414,Gratangen,,,5414,Gratangen,54,Troms og Finnmark,Gratangen,,,5414,Gratangen,54,Troms og Finnmark,1091
5415,Lavangen,,,5415,Lavangen,54,Troms og Finnmark,Lavangen,,,5415,Lavangen,54,Troms og Finnmark,1034
5416,Bardu,,,5416,Bardu,54,Troms og Finnmark,Bardu,,,5416,Bardu,54,Troms og Finnmark,4005
5417,Salangen,,,5417,Salangen,54,Troms og Finnmark,Salangen,,,5417,Salangen,54,Troms og Finnmark,2146
5418,Målselv,,,5418,Målselv,54,Troms og Finnmark,Målselv,,,5418,Målselv,54,Troms og Finnmark,6640
5419,Sørreisa,,,5419,Sørreisa,54,Troms og Finnmark,Sørreisa,,,5419,Sørreisa,54,Troms og Finnmark,3464
5420,Dyrøy,,,5420,Dyrøy,54,Troms og Finnmark,Dyrøy,,,5420,Dyrøy,54,Troms og Finnmark,1083
5421,Senja,,,5421,Senja,54,Troms og Finnmark,Senja,,,5421,Senja,54,Troms og Finnmark,14851
5422,Balsfjord,,,5422,Balsfjord,54,Troms og Finnmark,Balsfjord,,,5422,Balsfjord,54,Troms og Finnmark,5559
5423,Karlsøy,,,5423,Karlsøy,54,Troms og Finnmark,Karlsøy,,,5423,Karlsøy,54,Troms og Finnmark,2200
5424,Lyngen,,,5424,Lyngen,54,Troms og Finnmark,Lyngen,,,5424,Lyngen,54,Troms og Finnmark,2794
5425,Storfjord,,,5425,Storfjord,54,Troms og Finnmark,Storfjord,,,5425,Storfjord,54,Troms og Finnmark,1829
5426,Kåfjord,,,5426,Kåfjord,54,Troms og Finnmark,Kåfjord,,,5426,Kåfjord,54,Troms og Finnmark,2071
5427,Skjervøy,,,5427,Skjervøy,54,Troms og Finnmark,Skjervøy,,,5427,Skjervøy,54,Troms og Finnmark,2927
5428,Nordreisa,,,5428,Nordreisa,54,Troms og Finnmark,Nordreisa,,,5428,Nordreisa,54,Troms og Finnmark,4861
5429,Kvænangen,,,5429,Kvænangen,54,Troms og Finnmark,Kvænangen,,,5429,Kvænangen,54,Troms og Finnmark,1191
5430,Kautokeino,,,5430,Kautokeino,54,Troms og Finnmark,Kautokeino,,,5430,Kautokeino,54,Troms og Finnmark,2910
5432,Loppa,,,5432,Loppa,54,Troms og Finnmark,Loppa,,,5432,Loppa,54,Troms og Finnmark,888
5433,Hasvik,,,5433,Hasvik,54,Troms og Finnmark,Hasvik,,,5433,Hasvik,54,Troms og Finnmark,1005
5434,Måsøy,,,5434,Måsøy,54,Troms og Finnmark,Måsøy,,,5434,Måsøy,54,Troms og Finnmark,1225
5435,Nordkapp,,,5435,Nordkapp,54,Troms og Finnmark,Nordkapp,,,5435,Nordkapp,54,Troms og Finnmark,3162
5436,Porsanger,,,5436,Porsanger,54,Troms og Finnmark,Porsanger,,,5436,Porsanger,54,Troms og Finnmark,3998
5437,Kárájohka - Karasjok,,,5437,Kárájohka - Karasjok,54,Troms og Finnmark,Kárájohka - Karasjok,,,5437,Kárájohka - Karasjok,54,Troms og Finnmark,2628
5438,Lebesby,,,5438,Lebesby,54,Troms og Finnmark,Lebesby,,,5438,Lebesby,54,Troms og Finnmark,1290
5439,Gamvik,,,5439,Gamvik,54,Troms og Finnmark,Gamvik,,,5439,Gamvik,54,Troms og Finnmark,1132
5440,Berlevåg,,,5440,Berlevåg,54,Troms og Finnmark,Berlevåg,,,5440,Berlevåg,54,Troms og Finnmark,957
5441,Tana,,,5441,Tana,54,Troms og Finnmark,Tana,,,5441,Tana,54,Troms og Finnmark,2918
5442,Nesseby,,,5442,Nesseby,54,Troms og Finnmark,Nesseby,,,5442,Nesseby,54,Troms og Finnmark,926
5443,Båtsfjord,,,5443,Båtsfjord,54,Troms og Finnmark,Båtsfjord,,,5443,Båtsfjord,54,Troms og Finnmark,2221
5444,Sør-Varanger,,,5444,Sør-Varanger,54,Troms og Finnmark,Sør-Varanger,,,5444,Sør-Varanger,54,Troms og Finnmark,10158
030199,Ukjent Bydel,030199,Ukjent,0301,Oslo,03,Oslo,Ukjent Bydel,030199,Ukjent,0301,Oslo,03,Oslo,2386
460199,Ukjent Bydel,460199,Ukjent,4601,Bergen,46,Vestland,Ukjent Bydel,460199,Ukjent,4601,Bergen,46,Vestland,569
110399,Ukjent Bydel,110399,Ukjent,1103,Stavanger,11,Rogaland,Ukjent Bydel,110399,Ukjent,1103,Stavanger,11,Rogaland,255
500199,Ukjent Bydel,500104,Ukjent,5001,Trondheim,50,Trøndelag Trööndelage,Ukjent Bydel,500104,Ukjent,5001,Trondheim,50,Trøndelag,513
9999,Ukjent Kommune,,,9999,Ukjent Kommune,99,Ukjent Fylke,Ukjent Kommune,,,9999,Ukjent Kommune,99,Ukjent Fylke,
9998,Svalbard,,,9998,Svalbard,99,Svalbard,Svalbard,,,9998,Svalbard,99,Svalbard,
